Japanese,Kana,English
遭難,そうなん,disaster; shipwreck; accident
相場,そうば,market price; speculation; estimation
装備,そうび,equipment
創立,そうりつ,establishment; founding
添える,そえる,to add to; to attach; to accompany
ソース,ソース,source
即座に,そくざに,immediately; right away
促進,そくしん,promotion; acceleration; encouragement
即する,そくする,to conform to; to agree with; to be adapted to
束縛,そくばく,restraint; restriction; confinement
側面,そくめん,side; sidelight; lateral
損う,そこなう,to harm; to hurt
そこら,そこら,everywhere; somewhere
素材,そざい,raw materials; subject matter
阻止,そし,obstruction; check; hindrance
訴訟,そしょう,litigation; lawsuit
育ち,そだち,breeding; growth
措置,そち,measure; step
ソックス,ソックス,socks
素っ気無い,そっけない,cold; short; curt; blunt
外方,そっぽ,look (or turn) the other way
備え付ける,そなえつける,to provide; to equip; to install
備わる,そなわる,to be furnished with
具わる,そなわる,to be furnished with
聳える,そびえる,to rise; to tower; to soar
素朴,そぼく,simplicity; artlessness; naivety
背く,そむく,to run counter to; to go against
染まる,そまる,to be dyed
染める,そめる,to dye; to color
そらす,そらす,to bend; to warp
そり (～にのる),そり (～にのる),sleigh; sled
反る,そる,to warp; to be warped; to curve
それゆえ,それゆえ,therefore; for that reason; so
ソロ,ソロ,solo
揃い,そろい,set; suit; uniform
ぞんざい,ぞんざい,rude; careless; slovenly
損失,そんしつ,loss
存続,そんぞく,duration; continuance
ダース,ダース,dozen
対応,たいおう,dealing with
大家,たいか,rich family; distinguished family
退化,たいか,degeneration; retrogression
大概,たいがい,in general; mainly
体格,たいかく,physique; constitution
大金,たいきん,large amount of money
待遇,たいぐう,treatment; reception
対決,たいけつ,confrontation; showdown
体験,たいけん,personal experience
対抗,たいこう,opposition; antagonism
退治,たいじ,extermination
大衆,たいしゅう,general public
対処,たいしょ,deal with; cope
退職,たいしょく,retirement (from office)
題する,だいする,to title
態勢,たいせい,attitude; conditions; tendency
対談,たいだん,talk; dialogue
大胆,だいたん,bold; daring; audacious
対等,たいとう,equivalent
台無し,だいなし,mess; spoiled; (come to) nothing
滞納,たいのう,non-payment; default
対比,たいひ,contrast; comparison
タイピスト,タイピスト,typist
大部,たいぶ,most (e.g. most part greater fairly a good deal much)
大便,だいべん,feces
代弁,だいべん,speak for another
待望,たいぼう,long-expected; waiting
台本,だいほん,libretto; scenario
タイマー,タイマー,timer
怠慢,たいまん,negligence; carelessness
タイミング,タイミング,timing
タイム,タイム,time
タイムリー,タイムリー,timely; run-batted-in (baseball); RBI
対面,たいめん,interview; meeting
代用,だいよう,substitution
体力,たいりょく,physical strength
タイル,タイル,tile
対話,たいわ,conversation; dialogue
耐える,たえる,to endure; to put up with
堪える,たえる,to endure; to put up with
絶える,たえる,to die out; to become extinct
打開,だかい,solution; breakthrough
焚火,たきび,(open) fire
妥協,だきょう,compromise; giving in
たくましい,たくましい,burly; strong; sturdy
巧み,たくみ,skill; cleverness
丈,たけ,length; height
打撃,だげき,blow; damage; batting (baseball)
妥結,だけつ,agreement
駄作,ださく,poor work
足し算,たしざん,addition
多数決,たすうけつ,majority rule
助け,たすけ,assistance
携わる,たずさわる,to engage; to involve
漂う,ただよう,to drift about; to float; to hang in air
立ち去る,たちさる,to leave; to depart
立ち寄る,たちよる,to stop by; to drop in for a short visit
抱っこ,だっこ,(child's) hug
達者,たっしゃ,skillful; in good health
脱出,だっしゅつ,escape
脱する,だっする,to escape from; to get out
達成,たっせい,achievement
脱退,だったい,secession; withdrawal
だったら,だったら,if it's the case
立て替える,たてかえる,to pay in advance; to pay for another
建前,たてまえ,position; stance one takes in public; principle
奉る,たてまつる,to offer; to do respectfully
だと,だと,if it's the case
他動詞,たどうし,transitive verb (direct object)
辿り着く,たどりつく,to reach; to make it somehow
辿る,たどる,to follow (road to pursue (course) to follow up
束ねる,たばねる,to tie up in a bundle; to control
だぶだぶ,だぶだぶ,loose; baggy
他方,たほう,another side; on the other hand
多忙,たぼう,busy
給う,たまう,to receive; to grant
魂,たましい,soul; spirit
溜まり,たまり,collected things; gathering place; arrears
賜る,たまわる,to grant; to bestow
保つ,たもつ,to keep; to preserve; to sustain
たやすい,たやすい,easy; simple; light
多様,たよう,diversity; variety
だるい,だるい,sluggish; feel heavy (tired); languid
弛み,たるみ,slack; slackening
弛む,たるむ,to slacken; to loosen; to relax
垂れる,たれる,to hang; to droop; to drip
タレント,タレント,talent; star; personality
タワー,タワー,tower
単一,たんいつ,single; simple; sole
短歌,たんか,31-syllable Japanese poem
担架,たんか,stretcher; litter
短気,たんき,quick temper
団結,だんけつ,unity; union; solidarity
探検,たんけん,exploration; expedition
断言,だんげん,assertion; declaration; affirmation
短縮,たんしゅく,shortening; abbreviation; reduction
断然,だんぜん,firmly; absolutely; definitely
炭素,たんそ,carbon (C)
短大,たんだい,junior college
単調,たんちょう,monotony; monotone; dullness
単独,たんどく,sole; single
旦那,だんな,master (of house); husband (informal)
短波,たんぱ,short wave
蛋白質,たんぱくしつ,protein
ダンプ,ダンプ,dump truck
断面,だんめん,cross section
弾力,だんりょく,elasticity; flexibility
治安,ちあん,public order; security
チームワーク,チームワーク,teamwork
チェンジ,チェンジ,change
違える,ちがえる,to change
畜産,ちくさん,animal husbandry
畜生,ちくしょう,beast; brute; damn
蓄積,ちくせき,accumulation; accumulate; store
地形,ちけい,landform; geographical features; topography
知性,ちせい,intelligence
乳,ちち,milk; breast; loop
縮まる,ちぢまる,to be shortened; to be contracted; to shrink
秩序,ちつじょ,order; regularity
窒息,ちっそく,suffocation
知的,ちてき,intellectual
着手,ちゃくしゅ,embarkation; launch
着色,ちゃくしょく,coloring; coloring
着席,ちゃくせき,sit down; seat
着目,ちゃくもく,attention
着陸,ちゃくりく,landing; touch down
着工,ちゃっこう,start of (construction) work
茶の間,ちゃのま,living room (Japanese style)
茶の湯,ちゃのゆ,tea ceremony
ちやほや,ちやほや,pamper; make a fuss of; spoil
チャンネル,チャンネル,a channel
宙返り,ちゅうがえり,somersault; looping-the-loop
中継,ちゅうけい,relay; hook-up
忠告,ちゅうこく,advice; warning
中傷,ちゅうしょう,slander; libel; defamation
中枢,ちゅうすう,center; mainstay; nucleus
抽選,ちゅうせん,lottery; raffle; drawing (of lots)
中断,ちゅうだん,interruption; suspension; break
中毒,ちゅうどく,poisoning
中腹,ちゅうふく,mountain side; halfway up
中立,ちゅうりつ,neutrality
中和,ちゅうわ,neutralize; counteract
～著,～ちょ,written by ~
腸,ちょう,bowels; intestines
蝶,ちょう,butterfly
超,ちょう,super-; ultra-; hyper-
調印,ちょういん,signature; sign; sealing
聴覚,ちょうかく,the sense of hearing
長官,ちょうかん,chief; (government) secretary
聴講,ちょうこう,lecture attendance; auditing
徴収,ちょうしゅう,collection; levy
聴診器,ちょうしんき,stethoscope
調停,ちょうてい,arbitration; conciliation; mediation
重複,ちょうふく,duplication; repetition; overlapping; redundancy
長編,ちょうへん,long (e.g. novel film)
重宝,ちょうほう,convenient; useful
調理,ちょうり,cooking
調和,ちょうわ,harmony
ちょくちょく,ちょくちょく,often; frequently; now and then; occasionally
直面,ちょくめん,confrontation
著書,ちょしょ,literary work; book
貯蓄,ちょちく,savings
直感,ちょっかん,intuition; instinct
著名,ちょめい,well-known; noted; celebrated
ちらっと,ちらっと,at a glance; by accident
塵,ちり,dust; dirt
塵取り,ちりとり,dustpan
賃金,ちんぎん,wages
沈殿,ちんでん,precipitation; deposition; settlement
沈没,ちんぼつ,sinking; foundering
沈黙,ちんもく,silence; reticence
陳列,ちんれつ,exhibition; display; show
追及,ついきゅう,investigation; inquiry
追跡,ついせき,pursuit
追放,ついほう,exile; banishment
費やす,ついやす,to spend; to devote; to waste
墜落,ついらく,falling; crashing
痛感,つうかん,feeling keenly; fully realizing
通常,つうじょう,common; normal; usual
痛切,つうせつ,keen; deep
杖,つえ,cane
使い道,つかいみち,use
仕える,つかえる,to serve; to work for
司る,つかさどる,to rule; to govern; to administer
つかの間,つかのま,moment; brief time
月並,つきなみ,conventional; trite; common
継目,つぎめ,joint; seam
尽きる,つきる,to be used up; to be run out
尽くす,つくす,to exhaust; to run out; to devote; to serve
つくづく,つくづく,completely; really
作り,つくり,make up; structure; physique
造り,つくり,make up; structure; physique
繕う,つくろう,to mend; to repair
付け加える,つけくわえる,to add one thing to another
告げる,つげる,to inform
つじつま (はなしの～),つじつま (はなしの～),coherence; consistency
筒,つつ,pipe; tube
突く,つつく,to thrust; to strike; to attack; to poke; to nudge; to pick at
突っ突く,つっつく,to prompt someone
謹む,つつしむ,to be careful; to be chaste or discreet
突っ張る,つっぱる,to support; to become stiff; to thrust (ones opponent); to stick to (ones opinion); to insist on
務まる,つとまる,be equal; be fit
勤め先,つとめさき,place of work
努めて,つとめて,make an effort!; work hard!
津波,つなみ,tsunami; tidal wave
つねる,つねる,to pinch
角,つの,horn
募る,つのる,to invite; to solicit help; participation; etc
唾,つば,saliva; spit; sputum
呟く,つぶやく,to mutter; to murmur
つぶら,つぶら,round; rotund
つぶる (めを～),つぶる (めを～),to close the eyes
壷,つぼ,jar; pot; vase
蕾,つぼみ,bud; flower bud
連なる,つらなる,to extend; to stretch out; to stand in a row
貫く,つらぬく,to go through
連ねる,つらねる,to link; to join; to put together
釣り鐘,つりがね,temple bell (for striking)
吊り革,つりかわ,strap
手当,てあて,allowance; compensation; treatment
定義,ていぎ,definition
提供,ていきょう,offer; program sponsoring
提携,ていけい,cooperation; tie-up; joint business
体裁,ていさい,decency; style; form; appearance
提示,ていじ,presentation; exhibit; suggest; citation
ティシュペーパー,ティシュペーパー,tissue
定食,ていしょく,fixed-price lunch; set meal; dinner
訂正,ていせい,correction; revision
停滞,ていたい,stagnation; tie-up; congestion; retention
邸宅,ていたく,mansion; residence
定年,ていねん,retirement age
堤防,ていぼう,bank; weir
手遅れ,ておくれ,being (too); belated treatment
でかい,でかい,huge
手掛かり,てがかり,hint; clue; key
手掛ける,てがける,to handle; to manage; to work with
手数,てかず,trouble; labor; handling
手軽,てがる,easy; simple; cheap
適応,てきおう,adaptation; accommodation; conformity
適宜,てきぎ,suitability
適性,てきせい,aptitude
できもの,できもの,boil; rash
手際,てぎわ,performance; skill; tact
出くわす,でくわす,to happen to meet; to come across
手順,てじゅん,process; procedure; protocol
手錠,てじょう,handcuffs; manacles
手数,てすう,trouble; labor; handling
デコレーション,デコレーション,decoration
手近,てぢか,near; handy; familiar
てっきり,てっきり,surely; certainly; beyond doubt
鉄鋼,てっこう,iron and steel
デッサン,デッサン,rough sketch (FRE: dessin)
徹する,てっする,to devote oneself; to believe in
てっぺん,てっぺん,top; summit; apex
鉄棒,てつぼう,iron rod; crowbar; horizontal bar (gymnastics)
出直し,でなおし,adjustment; touch up
掌,てのひら,the palm
手配,てはい,arrangement; search (by police)
手筈,てはず,arrangement; plan; program
手引,てびき,guidance; guide; introduction
手本,てほん,model; pattern
手回し,てまわし,preparations; arrangements
手元,てもと,(money) on hand or at home; one's purse; usual skill
デモンストレーション,デモンストレーション,demonstration
照り返す,てりかえす,to reflect; to throw back light
テレックス,テレックス,telex; teletypewriter exchange
手分け,てわけ,division of labor
天,てん,heaven; sky
田園,でんえん,country; rural districts
天下,てんか,the world; whole country
転回,てんかい,revolution; rotation
連休,れんきゅう,consecutive holidays
レンジ,レンジ,range; stove
連日,れんじつ,every day
連帯,れんたい,solidarity
レンタカー,レンタカー,rented car
連中,れんちゅう,colleagues; company; a lot
レントゲン,レントゲン,X-ray (lit: Roentgen)
連邦,れんぽう,commonwealth; federation of states
連盟,れんめい,league; union; alliance
老衰,ろうすい,senility; senile decay
朗読,ろうどく,reading aloud; recitation
浪費,ろうひ,waste; extravagance
労力,ろうりょく,labor; effort; trouble
ロープウエイ,ロープウエイ,ropeway; aerial tram
ロープ,ロープ,rope
ろくな,ろくな,satisfactory; decent
露骨,ろこつ,blunt; outspoken; conspicuous; broad; suggestive
ロマンチック,ロマンチック,romantic
論議,ろんぎ,discussion
論理,ろんり,logic
惑星,わくせい,planet
技,わざ,art; technique
わざわざ,わざわざ,take the trouble (to do); doing something especially rather than incidentally
煩わしい,わずらわしい,burdensome; troublesome; complicated
渡り鳥,わたりどり,migratory bird; bird of passage
ワット,ワット,watt
詫び,わび,apology
和文,わぶん,Japanese text; sentence in Japanese
藁,わら,straw
～割,～わり,~ percent
割当,わりあて,allotment; allocation; quota
割込む,わりこむ,to cut in; to disturb
悪者,わるもの,bad fellow; rascal
我,われ,me; oneself; self; ego
捗る,はかどる,to make progress; to move right ahead (with the work); to advance
はかない,はかない,short-lived; momentary; ephemeral
ばかばかしい,ばかばかしい,stupid
破棄,はき,revocation; annulment; breaking (e.g. treaty)
剥ぐ,はぐ,to tear off; to peel off; to rip off
迫害,はくがい,persecution
薄弱,はくじゃく,feebleness; weakness; weak
白状,はくじょう,confession
漠然,ばくぜん,obscure; vague; equivocal
爆弾,ばくだん,bomb
爆破,ばくは,blast; explosion; blow up
暴露,ばくろ,disclosure; exposure; revelation
励ます,はげます,to encourage; to cheer; to raise (the voice)
励む,はげむ,to be zealous; to make an effort
剥げる,はげる,to come off; to be worn off; to fade; to discolor
化ける,ばける,to disguise; to take the form of
派遣,はけん,dispatch; send
恥,はじ,shame; embarrassment
弾く,はじく,to play (piano guitar)
パジャマ,パジャマ,pajamas
恥じらう,はじらう,to feel shy; to be bashful; to blush
恥じる,はじる,to feel ashamed
橋渡し,はしわたし,bridge building'; mediation
弾む,はずむ,to bounce; to be encouraged; to splurge on
破損,はそん,damage
叩く,はたく,to strike; to clap; to dust; to beat
裸足,はだし,barefoot
果たす,はたす,to accomplish; to fulfill; to carry out; to achieve
蜂蜜,はちみつ,honey
パチンコ,パチンコ,pachinko (Japanese pinball)
罰,ばつ,punishment; penalty
発育,はついく,(physical) growth; development
発芽,はつが,germination
発掘,はっくつ,excavation; exhumation; discovery (e.g. new talent)
発言,はつげん,utterance; speech; proposal
バッジ,バッジ,badge
発生,はっせい,outbreak; spring forth; occurrence
仕立てる,したてる,to tailor; to make; to prepare
下取り,したどり,trade in; part exchange
下火,したび,burning low; waning; declining
実,じつ,fruit; good result
実家,じっか,(one's parents') home
失格,しっかく,disqualification; elimination; incapacity (legal)
質疑,しつぎ,question
失脚,しっきゃく,losing one's standing; being overthrown; falling
実業家,じつぎょうか,industrialist; businessman
シック,シック,chic
じっくり,じっくり,deliberately; carefully
躾,しつけ,discipline; training
躾ける,しつける,to discipline; to teach manners
実践,じっせん,practice; put into practice
質素,しっそ,simplicity; modesty; frugality
実態,じったい,truth; fact
失調,しっちょう,lack of harmony; imbalance
嫉妬,しっと,jealousy
実費,じっぴ,actual expense; cost price
指摘,してき,pointing out; identification
自転,じてん,rotation; spin
助動詞,じょどうし,auxiliary verb
淑やか,しとやか,graceful
萎びる,しなびる,to shrivel; to fade
シナリオ,シナリオ,scenario
しなやか,しなやか,supple; flexible; elastic
屎尿,しにょう,human waste
地主,じぬし,landlord
凌ぐ,しのぐ,to outdo; to surpass; to endure
芝,しば,lawn
始発,しはつ,first train
耳鼻科,じびか,otolaryngology
私物,しぶつ,private property; personal effects
しぶとい,しぶとい,tenacious; stubborn
司法,しほう,administration of justice
始末,しまつ,disposal; cleaning up afterwards
染みる,しみる,to soak; pierce
使命,しめい,mission; errand; message
地元,じもと,local
視野,しや,field of vision; outlook
弱,じゃく,delicate; supple
社交,しゃこう,social life
ジャズ,ジャズ,jazz
謝絶,しゃぜつ,refusal
社宅,しゃたく,company owned house
若干,じゃっかん,some; few; number of
三味線,しゃみせん,three-stringed Japanese guitar
斜面,しゃめん,slope; slanting surface; bevel
砂利,じゃり,gravel; ballast; pebbles
洒落る,しゃれる,to joke; to play on words; stylish
ジャンパー,ジャンパー,jacket; jumper
ジャンプ,ジャンプ,jump
ジャンボ,ジャンボ,jumbo
ジャンル,ジャンル,genre
主,しゅ,owner; master; god
種,しゅ,seed; variety
私有,しゆう,private ownership
～宗,～しゅう,sect
収益,しゅうえき,earnings; proceeds; returns
修学,しゅうがく,learning
周期,しゅうき,cycle; period
衆議院,しゅうぎいん,Lower House; House of Representatives
就業,しゅうぎょう,employment; starting work
従業員,じゅうぎょういん,employee; worker
集計,しゅうけい,totalization; aggregate
襲撃,しゅうげき,attack; charge; raid
収支,しゅうし,income and expenditure
終始,しゅうし,from beginning to end; consistent(ly)
修士,しゅうし,Masters degree program
従事,じゅうじ,engaging; pursuing; following
終日,しゅうじつ,all day
充実,じゅうじつ,fullness; perfection
収集,しゅうしゅう,gathering up; collection
十字路,じゅうじろ,crossroads
執着,しゅうじゃく,attachment; adhesion; tenacity
執着,しゅうちゃく,attachment; adhesion; tenacity
柔軟,じゅうなん,flexible
重複,じゅうふく,duplication; repetition; overlapping
収容,しゅうよう,accommodation; seating; custody
従来,じゅうらい,up to now; so far; traditional
守衛,しゅえい,security guard; doorkeeper
主演,しゅえん,starring; playing the leading part
主観,しゅかん,subjectivity; subject; ego
修行,しゅぎょう,pursuit of knowledge; training; ascetic practice
塾,じゅく,after-school (cram) school
祝賀,しゅくが,celebration; congratulations
宿命,しゅくめい,fate; destiny; predestination
手芸,しゅげい,handicrafts
主権,しゅけん,sovereignty
主催,しゅさい,organization; sponsorship; to host
取材,しゅざい,coverage; collecting data
趣旨,しゅし,object; meaning
種々,しゅじゅ,variety
主食,しゅしょく,staple food
主人公,しゅじんこう,protagonist
主体,しゅたい,subject; main constituent
主題,しゅだい,subject; theme; motif
出演,しゅつえん,leading performer; stage appearance
出血,しゅっけつ,bleeding
出現,しゅつげん,appearance; arrival
出産,しゅっさん,childbirth
出社,しゅっしゃ,come to work
出生,しゅっしょう,birth
出生,しゅっせい,birth
微量,びりょう,minuscule amount; extremely small quantity
昼飯,ひるめし,lunch (mid-day meal)
比例,ひれい,proportion
疲労,ひろう,fatigue; weariness
敏感,びんかん,sensibility; susceptibility; sensitive (to)
貧困,ひんこん,poverty; lack
品質,ひんしつ,quality
貧弱,ひんじゃく,poor; meager; insubstantial
品種,ひんしゅ,breed; type; variety
ヒント,ヒント,hint
頻繁,ひんぱん,frequency
貧乏,びんぼう,poverty; destitute; poor
ファイト,ファイト,fight
ファイル,ファイル,file; portfolio
ファン,ファン,fan
不意,ふい,sudden; abrupt; unexpected
フィルタ,フィルタ,filter
封,ふう,seal
封鎖,ふうさ,blockade; freezing (funds)
風車,ふうしゃ,windmill
風習,ふうしゅう,custom
風俗,ふうぞく,manners; customs; sex industry
ブーツ,ブーツ,boots
風土,ふうど,natural features; climate
ブーム,ブーム,boom
フォーム,フォーム,foam; form
部下,ぶか,one's subordinate
不可欠,ふかけつ,indispensable; essential
ぶかぶか,ぶかぶか,too big; baggy
不吉,ふきつ,ominous; sinister; bad luck; ill omen
不況,ふきょう,recession; depression; slump
布巾,ふきん,dish cloth
複合,ふくごう,composite; complex
福祉,ふくし,welfare; well-being
覆面,ふくめん,mask; veil; disguise
膨れる,ふくれる,to swell (out); to be inflated; to bulge
不景気,ふけいき,business recession; hard times; depression
耽る,ふける,to indulge in; to give oneself up to; to be absorbed in
老ける,ふける,to age
富豪,ふごう,wealthy person; millionaire
布告,ふこく,edict; ordinance; proclamation
ブザー,ブザー,buzzer
負債,ふさい,debt; liabilities
不在,ふざい,absence
ふさわしい,ふさわしい,appropriate
不順,ふじゅん,irregularity; unseasonableness
負傷,ふしょう,injury; wound
侮辱,ぶじょく,insult; contempt; slight
不審,ふしん,suspicious; doubt; infidelity
不振,ふしん,dullness; slump; stagnation
武装,ぶそう,arms; armament; armed
札,ふだ,token; label; ticket; card; charm; talisman
負担,ふたん,burden; load
不調,ふちょう,bad condition; disorder; slump
復活,ふっかつ,revival (e.g. musical); restoration
物議,ぶつぎ,public discussion (criticism)
復旧,ふっきゅう,restoration; restitution; rehabilitation
復興,ふっこう,revival; renaissance; reconstruction
物資,ぶっし,goods; materials
仏像,ぶつぞう,Buddhist image (statue)
物体,ぶったい,object
沸騰,ふっとう,boiling; seething
不当,ふとう,injustice; impropriety; unfair
不動産,ふどうさん,real estate
無難,ぶなん,safety; security
赴任,ふにん,(proceeding to) new appointment
腐敗,ふはい,decay; depravity
不評,ふひょう,bad reputation; disgrace; unpopularity
不服,ふふく,dissatisfaction; discontent; disapproval
普遍,ふへん,universality; ubiquity; omnipresence
踏まえる,ふまえる,to be based on; to have origin in
踏み込む,ふみこむ,to step into (someone else's territory to break into to raid
不明,ふめい,unknown; ambiguous
部門,ぶもん,class; group; category; department; field; branch
扶養,ふよう,support; maintenance
ふらふら,ふらふら,unsteady on one's feet; totter; dizzy
ぶらぶら,ぶらぶら,dangle heavily; sway to and fro; stroll idly
振り返る,ふりかえる,to turn head; to turn around; to look back
振り出し,ふりだし,outset; starting point; drawing or issuing (draft)
不良,ふりょう,badness; delinquent; failure
浮力,ふりょく,buoyancy
武力,ぶりょく,armed might; military power; the sword; force
ブル,ブル,bull
震わせる,ふるわせる,to be shaking; to be trembling
無礼,ぶれい,impolite; rude
付録,ふろく,appendix; supplement
フロント,フロント,front
憤慨,ふんがい,indignation; resentment
文化財,ぶんかざい,cultural assets; cultural property
分業,ぶんぎょう,division of labor; specialization; assembly-line production
文語,ぶんご,written language; literary language
分散,ぶんさん,dispersion; decentralization; variance (statistics)
分子,ぶんし,numerator; molecule
紛失,ふんしつ,losing something
噴出,ふんしゅつ,spewing; gushing; spouting
文書,ぶんしょ,document; writing
紛争,ふんそう,dispute; trouble; strife
ふんだん,ふんだん,plentiful; abundant; lavish
分担,ぶんたん,apportionment; sharing
奮闘,ふんとう,hard struggle; strenuous effort
分配,ぶんぱい,division; sharing
分母,ぶんぼ,denominator
粉末,ふんまつ,fine powder
分離,ぶんり,separation; detachment; segregation
分裂,ぶんれつ,split; division; break up
ペア,ペア,pair; pear
兵器,へいき,arms; weapons; ordinance
閉口,へいこう,shut mouth
閉鎖,へいさ,closing; closure; shutdown
兵士,へいし,soldier
平常,へいじょう,normal; usual
平方,へいほう,square (e.g. meter square)
並列,へいれつ,arrangement; parallel; abreast
ベース,ベース,base; bass
辟易,へきえき,wince; shrink back; succumbing to; being frightened
ぺこぺこ,ぺこぺこ,fawn; be very hungry
ベスト,ベスト,best; vest
ベストセラー,ベストセラー,best-seller
隔たる,へだたる,to be distant
縁,へり,edge
へりくだる,へりくだる,to deprecate oneself and praise the listener
弁解,べんかい,explanation; justification; excuse
変革,へんかく,change; reform(the) Reformation
返還,へんかん,return; restoration
便宜,べんぎ,convenience; accommodation
偏見,へんけん,prejudice; narrow view
弁護,べんご,defense; pleading; advocacy
返済,へんさい,repayment
弁償,べんしょう,compensation; reparation; reimbursement
変遷,へんせん,change; transition; vicissitudes
返答,へんとう,reply
変動,へんどう,change; fluctuation
弁論,べんろん,discussion; debate; argument
穂,ほ,ear (of plant); head (of plant)
保育,ほいく,nursing; nurturing; rearing
ボイコット,ボイコット,boycott
ポイント,ポイント,point
法案,ほうあん,bill (law)
防衛,ぼうえい,defense; protection; self-defense
防火,ぼうか,fire prevention; fire fighting; fire proof
崩壊,ほうかい,collapse; decay (physics); crumbling
妨害,ぼうがい,disturbance; obstruction; interference
法学,ほうがく,law; jurisprudence
封建,ほうけん,feudalistic
豊作,ほうさく,abundant harvest; bumper crop
方策,ほうさく,plan; policy
奉仕,ほうし,attendance; service
方式,ほうしき,form; method; system
放射,ほうしゃ,radiation; emission
放射能,ほうしゃのう,radioactivity
報酬,ほうしゅう,remuneration; recompense; reward
放出,ほうしゅつ,release; emit
報じる,ほうじる,to inform; to report
報ずる,ほうずる,to inform; to report
紡績,ぼうせき,spinning
呆然,ぼうぜん,dumbfounded; overcome with surprise
放置,ほうち,leave as is; leave alone; neglect
膨張,ぼうちょう,expansion; swelling; increase
法廷,ほうてい,courtroom
報道,ほうどう,coverage; report
冒頭,ぼうとう,beginning; start; outset
暴動,ぼうどう,insurrection; riot; uprising
褒美,ほうび,reward; prize
暴風,ぼうふう,storm; windstorm; gale
葬る,ほうむる,to bury; to entomb
放り込む,ほうりこむ,to throw into
放り出す,ほうりだす,to throw out; to give up; to abandon
暴力,ぼうりょく,violence
飽和,ほうわ,saturation
ホース,ホース,hose
ポーズ,ポーズ,pause
ホール,ホール,hall; hole
保温,ほおん,retaining warmth; keeping heat in; heat insulation
捕獲,ほかく,capture; seizure
保管,ほかん,custody; safekeeping; storage
補給,ほきゅう,supply; supplying; replenishment
補強,ほきょう,reinforcement
募金,ぼきん,fund-raising; collection of funds
牧師,ぼくし,pastor; minister; clergyman
捕鯨,ほげい,whaling
惚ける,ぼける,to grow senile; to fade
保険,ほけん,insurance; guarantee
母校,ぼこう,alma mater
母国,ぼこく,one's home country (same as 自分の国 (じぶんのくに))
誇る,ほこる,to boast of; to be proud of
綻びる,ほころびる,to come apart at the seams; to smile broadly
干し～,ほし～,dried ~
ポジション,ポジション,position
干し物,ほしもの,dried washing (clothes
保守,ほしゅ,conservative; maintaining
補充,ほじゅう,supplementation; replenishment; replenishing
補助,ほじょ,assistance; support; auxiliary
舗装,ほそう,pavement; road surface
補足,ほそく,supplement; complement
墓地,ぼち,cemetery; graveyard
発作,ほっさ,fit; attack
没収,ぼっしゅう,forfeited
発足,ほっそく,starting; inauguration
ポット,ポット,pot
ほっぺた,ほっぺた,cheek
ぼつぼつ,ぼつぼつ,gradually; here and there; spots
没落,ぼつらく,ruin; fall; collapse
解ける,ほどける,to come untied; to come apart
施す,ほどこす,to give; to conduct; to perform
ほとり,ほとり,vicinity of lake; river
ぼやく,ぼやく,to grumble; to complain
ぼやける,ぼやける,to become dim; to become blurred
保養,ほよう,health preservation; recuperation; recreation
捕虜,ほりょ,prisoner of war
ボルト,ボルト,volt; bolt
滅びる,ほろびる,to be ruined; to perish; to be destroyed
滅ぼす,ほろぼす,to destroy; to overthrow; to ruin
本格,ほんかく,propriety; full-scale
本館,ほんかん,main building
本気,ほんき,seriousness; truth; sanctity
本国,ほんごく,one's own country
本質,ほんしつ,essence; true nature; reality
本体,ほんたい,substance; body; trunk
本音,ほんね,(one's) real intention; motive
本能,ほんのう,instinct
本場,ほんば,home; best place; genuine
ポンプ,ポンプ,pump
本文,ほんぶん,text (of document); body (of letter)
本名,ほんみょう,real name
マーク,マーク,mark
マイ～,マイ～,my ~; one's own ~
マイクロフォン,マイクロフォン,microphone
埋蔵,まいぞう,buried property; treasure trove
舞う,まう,to dance; to flutter about; to revolve
真上,まうえ,just above; right overhead
前売,まえうり,advance sale; booking
前置き,まえおき,preface; introduction
任す,まかす,to entrust; to leave to a person
負かす,まかす,to defeat
賄う,まかなう,to give board to; to provide meals; to pay
紛らわしい,まぎらわしい,confusing; misleading; ambiguous
紛れる,まぎれる,to be diverted; to slip into
真心,まごころ,sincerity; devotion
まごつく,まごつく,to be confused; to be flustered
誠,まこと,truth; faith; fidelity
誠に,まことに,indeed; really (very polite); absolutely
まさしく,まさしく,surely; no doubt; evidently
勝る,まさる,to excel; to surpass; to out-rival
～増し,～まし,~increase
交える,まじえる,to mix; to converse with; to cross (swords)
真下,ました,right under; directly below
まして,まして,still more; still less (with neg. verb); to say nothing of
交わる,まじわる,to cross; to intersect; to mingle with
麻酔,ますい,anesthesia
またがる (うまを～),またがる (うまを～),to straddle
待ち合わせ,まちあわせ,appointment
待ち遠しい,まちどおしい,looking forward to
待ち望む,まちのぞむ,to look anxiously for; to wait eagerly for
まちまち,まちまち,various; different
末期,まっき,deathbed; hour of death
真っ二つ,まっぷたつ,in two equal parts
まと,まと,mark; target
纏まり,まとまり,conclusion; settlement; consistency
纏め,まとめ,settlement; conclusion
免れる,まぬがれる,to escape from; to be exempted
招き,まねき,invitation
瞬き,まばたき,wink; twinkling (of stars); flicker (of light)
麻痺,まひ,paralysis; palsy; numbness
～まみれ,～まみれ,covered with (by in) ~
眉,まゆ,eyebrow
鞠,まり,ball
丸ごと,まるごと,in its entirety; whole; wholly
